# center_x,center_y,center_z,ext_x,ext_y,ext_z,quat_x,quat_y,quat_z,quat_w
-125.000000,-0.099998,-125.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
25.000000,-0.099987,25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
25.000000,-0.099991,-25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
25.000000,-0.099994,-75.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
25.000000,-0.099998,-125.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-25.000000,-0.099987,25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-25.000000,-0.099991,-25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-25.000000,-0.099994,-75.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-25.000000,-0.099998,-125.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-75.000000,-0.099987,25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-75.000000,-0.099991,-25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-75.000000,-0.099994,-75.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-75.000000,-0.099998,-125.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-125.000000,-0.099987,25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-125.000000,-0.099991,-25.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
-125.000000,-0.099994,-75.000000,24.999996,0.000000,24.999996,-0.000000,0.000000,0.000000,1.000000
37.819996,8.035685,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
45.989986,8.035685,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
29.679987,8.035685,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
19.010000,8.035685,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
-6.255000,8.035685,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
2.374995,8.035685,-103.290001,4.559907,8.039074,8.716475,-0.000000,0.000000,0.000000,1.000000
-23.045008,8.039078,-103.290001,4.559907,8.039074,8.716475,-0.000000,0.000000,0.000000,1.000000
-14.414998,8.035685,-103.290001,4.082817,8.039074,8.715002,-0.000000,0.000000,0.000000,1.000000
-41.350014,8.035684,-107.773491,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-41.350014,8.035685,-99.133507,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-41.350014,8.039077,-124.093491,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-41.350014,8.035684,-115.933510,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-41.350014,8.035681,-145.919998,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-41.350014,8.035682,-137.380005,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-19.149994,8.035682,-133.070007,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
-19.149992,8.035683,-124.530006,4.559907,8.039074,8.716474,-0.000000,-0.707107,0.000000,0.707107
-19.149994,8.035681,-146.239990,4.082817,8.039074,8.715002,-0.000000,-0.707107,0.000000,0.707107
38.699993,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
10.700000,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
33.099995,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
21.899996,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
27.499998,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
16.300001,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-18.600008,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-24.200003,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-12.999997,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-7.399996,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-31.357445,5.195081,-76.099922,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.346153,5.195082,-59.300007,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.346153,5.195080,-81.699898,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.368675,5.195081,-70.499977,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.380005,5.195081,-64.900002,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-31.357445,5.195082,-53.700001,2.802126,5.198948,4.311531,-0.000000,-0.707107,0.000000,0.707107
-57.190014,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-62.789997,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-47.260002,5.195081,-70.419998,2.802126,5.198948,4.311531,-0.000000,0.707107,-0.000000,0.707107
-51.590000,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
-47.271339,5.195081,-64.820000,2.802126,5.198948,4.311531,-0.000000,0.707107,-0.000000,0.707107
-45.990017,5.195080,-80.269997,2.802126,5.198948,4.311531,-0.000000,1.000000,-0.000000,0.000000
